EPIC,RA,Dec,Ch,Col,Row
220448752,16.21933,5.65627,42,989,727
220448416,17.09251,5.64982,43,354,973
220487484,14.95703,6.48323,46,750,119
220549896,15.73587,7.89014,45,162,746
220510067,18.67663,6.99514,23,1056,1045
220291034,17.6398,2.44567,40,586,915
220536030,18.43286,7.57535,23,501,919
220536170,18.43867,7.57828,23,502,913
220240793,15.95428,1.36684,59,857,1005
220335172,12.82635,3.38502,64,636,109
220498764,11.84846,6.74096,65,241,985
220432828,21.91585,5.35279,1,851,55
220472582,22.54631,6.14382,1,1108,929
220186864,19.95123,-0.50903,36,737,112
220171394,13.25206,-1.14426,75,620,608
220614808,10.29947,9.35506,72,741,68
220323358,9.37705,3.13535,83,662,37
